iter	Passed	Remaining
400	24048	35923
401	24118	35877
402	24182	35824
403	24244	35766
404	24295	35693
405	24349	35624
406	24400	35551
407	24453	35481
408	24501	35404
409	24556	35338
410	24613	35273
411	24675	35216
412	24737	35160
413	24816	35126
414	24881	35074
415	24942	35015
416	25012	34969
417	25073	34910
418	25142	34863
419	25204	34806
420	25265	34748
421	25300	34653
422	25358	34590
423	25411	34521
424	25468	34458
425	25523	34390
426	25572	34316
427	25626	34247
428	25675	34174
429	25749	34133
430	25825	34094
431	25893	34045
432	25960	33995
433	26026	33942
434	26080	33875
435	26135	33807
436	26197	33751
437	26254	33686
438	26287	33592
439	26339	33522
440	26389	33450
441	26436	33374
442	26485	33301
443	26544	33240
444	26618	33198
445	26698	33163
446	26770	33118
447	26846	33078
448	26879	32986
449	26927	32911
450	26976	32838
451	27029	32769
452	27082	32701
453	27131	32628
454	27178	32554
455	27230	32485
456	27257	32387
457	27304	32311
458	27352	32238
459	27379	32141
460	27428	32069
461	27473	31993
462	27524	31923
463	27595	31877
464	27667	31831
465	27731	31777
466	27794	31723
467	27863	31674
468	27928	31621
469	27992	31566
470	28048	31502
471	28081	31413
472	28130	31341
473	28158	31248
474	28208	31177
475	28258	31107
476	28284	31012
477	28335	30943
478	28380	30869
479	28407	30775
480	28434	30681
481	28477	30604
482	28505	30512
483	28614	30506
484	28783	30563
485	28865	30529
486	28926	30471
487	28981	30406
488	29039	30345
489	29091	30279
490	29145	30214
491	29197	30146
492	29249	30079
493	29276	29987
494	29323	29916
495	29351	29825
496	29381	29736
497	29409	29646
498	29458	29576
499	29509	29509
500	29542	29424
501	29606	29371
502	29756	29401
503	29834	29361
504	29896	29304
505	29944	29234
506	30003	29175
507	30063	29116
508	30091	29027
509	30142	28960
510	30188	28888
511	30217	28801
512	30246	28713
513	30292	28642
514	30319	28553
515	30369	28485
516	30397	28398
517	30425	28310
518	30477	28246
519	30526	28178
520	30580	28115
521	30657	28073
522	30689	27990
523	30764	27946
524	30794	27861
525	30863	27811
526	30890	27725
527	30919	27640
528	30973	27577
529	31001	27491
530	31040	27415
531	31072	27334
532	31123	27269
533	31173	27204
534	31226	27141
535	31282	27080
536	31311	26996
537	31363	26933
538	31393	26850
539	31422	26766
540	31511	26735
541	31608	26709
542	31647	26635
543	31722	26590
544	31780	26532
545	31837	26472
546	31892	26412
547	31920	26328
548	31977	26269
549	32007	26187
550	32039	26108
551	32097	26050
552	32125	25967
553	32179	25906
554	32235	25846
555	32266	25766
556	32295	25685
557	32345	25621
558	32391	25553
559	32448	25495
560	32513	25443
561	32574	25387
562	32638	25333
563	32703	25281
564	32752	25216
565	32817	25164
566	32847	25084
567	32906	25027
568	32968	24972
569	32997	24892
570	33050	24831
571	33107	24772
572	33140	24696
573	33190	24632
574	33239	24568
575	33266	24487
576	33312	24421
577	33355	24353
578	33383	24273
579	33434	24211
580	33474	24140
581	33651	24168
582	33724	24122
583	33755	24045
584	33783	23965
585	33811	23886
586	33860	23823
587	33890	23746
588	33939	23682
589	33991	23621
590	34022	23545
591	34054	23470
592	34105	23407
593	34159	23347
594	34214	23288
595	34277	23234
596	34307	23159
597	34360	23098
598	34415	23039
599	34442	22961
600	34498	22903
601	34558	22847
602	34607	22784
603	34658	22723
604	34689	22648
605	34743	22588
606	34770	22512
607	34800	22437
608	34844	22371
609	34875	22297
610	34925	22235
611	34978	22175
612	35034	22117
613	35063	22042
614	35114	21981
615	35160	21918
616	35189	21843
617	35238	21781
618	35265	21706
619	35314	21644
620	35363	21582
621	35410	21519
622	35465	21461
623	35519	21402
624	35552	21331
625	35605	21272
626	35652	21209
627	35701	21147
628	35756	21090
629	35812	21032
630	35862	20971
631	35924	20917
632	35975	20858
633	36032	20801
634	36063	20729
635	36120	20672
636	36170	20612
637	36227	20555
638	36258	20484
639	36311	20425
640	36361	20364
641	36389	20292
642	36439	20231
643	36466	20158
644	36522	20101
645	36554	20031
646	36605	19971
647	36652	19910
648	36681	19838
649	36708	19766
650	36754	19704
651	36782	19632
652	36831	19572
653	36860	19500
654	36909	19440
655	36958	19380
656	37013	19323
657	37041	19252
658	37095	19195
659	37127	19126
660	37158	19057
661	37189	18987
662	37240	18929
663	37296	18873
664	37329	18804
665	37382	18747
666	37408	18676
667	37435	18605
668	37482	18545
669	37532	18486
670	37560	18416
671	37590	18347
672	37619	18278
673	37666	18218
674	37716	18159
675	37770	18103
676	37822	18045
677	37851	17976
678	37905	17920
679	37934	17851
680	37991	17796
681	38045	17739
682	38076	17672
683	38137	17619
684	38169	17552
685	38217	17493
686	38246	17425
687	38293	17365
688	38322	17297
689	38373	17240
690	38421	17181
691	38449	17113
692	38499	17055
693	38557	17000
